epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.623,1.95678,2.21989,1.9295,0.6912,0.16419,0.17225,0.06489,2.18746,2.59872,2.18548,0.0670753,0.000332572,0.000332572
2,464.731,1.93745,2.07874,1.92625,0.444,0.24402,0.24957,0.09792,2.07937,2.19774,2.10371,0.0340622,0.000652721,0.000652721
3,677.667,1.88447,2.00694,1.89421,0.37743,0.36357,0.32744,0.14513,1.95663,1.88459,1.98642,0.00103577,0.000959669,0.000959669
4,917.149,1.84747,1.89668,1.85582,0.46998,0.36598,0.36704,0.16334,1.93272,1.76799,1.92039,0.0009406,0.0009406,0.0009406
5,1114.87,1.79561,1.80883,1.80736,0.49066,0.36584,0.38539,0.17783,1.83946,1.74381,1.87445,0.0009208,0.0009208,0.0009208
6,1330.6,1.77662,1.76018,1.77992,0.47909,0.40841,0.40901,0.18246,1.84467,1.65207,1.85735,0.000901,0.000901,0.000901
7,1586.56,1.73802,1.67201,1.74467,0.54619,0.41313,0.43518,0.19759,1.84119,1.59854,1.8441,0.0008812,0.0008812,0.0008812
8,1828.68,1.70355,1.61894,1.72918,0.54108,0.44672,0.4766,0.22482,1.76184,1.51291,1.79631,0.0008614,0.0008614,0.0008614
9,2050.93,1.69045,1.57158,1.71371,0.56141,0.43985,0.46912,0.22117,1.74928,1.57553,1.76996,0.0008416,0.0008416,0.0008416
10,2294.95,1.66597,1.55514,1.69202,0.58218,0.45936,0.49949,0.23888,1.73807,1.41184,1.75366,0.0008218,0.0008218,0.0008218
11,2503.42,1.66152,1.51586,1.69555,0.58034,0.50308,0.53108,0.26204,1.67965,1.36426,1.73364,0.000802,0.000802,0.000802
12,2721.52,1.61736,1.46911,1.67133,0.57891,0.48206,0.50796,0.25022,1.67446,1.41152,1.71974,0.0007822,0.0007822,0.0007822
